Object ID,Accession-1,Gene Name,Product,Characterization,log_TPM_median,range,in_iM,precise mapping issue
G0-17105,b4830,aceK-int,small RNA AceK-int,PARTIAL,#N/A,#N/A,#N/A,1
G0-9281,,alaB,glutamate&mdash;pyruvate aminotransferase AlaB,PARTIAL,#N/A,#N/A,#N/A,1
G0-17106,b4831,allZ,small RNA AllZ,PARTIAL,#N/A,#N/A,#N/A,1
EG12112,b2624,alpA,CP4-57 prophage; DNA-binding transcriptional activator AlpA,PARTIAL,#N/A,#N/A,#N/A,1
G0-17125,b4844,ameF,small antisense RNA aMEF,PARTIAL,#N/A,#N/A,#N/A,1
G0-10588,b4592,appX,cytochrome <i>bd</i>-II accessory subunit AppX,PARTIAL,#N/A,#N/A,#N/A,1
G0-17012,b4766,argL,putative translational regulatory protein ArgL,PARTIAL,#N/A,#N/A,#N/A,1
G0-17119,b4839,asflhD,small antisense RNA AsflhD,PARTIAL,#N/A,#N/A,#N/A,1
G0-10653,b4663,azuC,small regulatory membrane protein AzuC,PARTIAL,#N/A,#N/A,#N/A,1
G0-17040,b4794,baxL,putative translational regulatory protein BaxL,PARTIAL,#N/A,#N/A,#N/A,1
G0-17107,b4832,bhsB,small RNA BhsB,PARTIAL,#N/A,#N/A,#N/A,1
G0-8785,b4408,csrB,small regulatory RNA CsrB,PARTIAL,#N/A,#N/A,#N/A,1
G0-8874,b4457,csrC,small regulatory RNA CsrC,PARTIAL,#N/A,#N/A,#N/A,1
G0-10594,b4602,cydH,cytochrome <i>bd</i>-I accessory subunit CydH,PARTIAL,#N/A,#N/A,#N/A,1
G0-9981,b4613,dinQ,membrane toxin DinQ,PARTIAL,#N/A,#N/A,#N/A,1
G7047,b1954,dsrA,small regulatory RNA DsrA,PARTIAL,#N/A,#N/A,#N/A,1
G0-10737,b4707,esrE,small RNA EsrE,PARTIAL,#N/A,#N/A,#N/A,1
G0-17115,b4838,fimR2,small regulatory RNA FimR2,PARTIAL,#N/A,#N/A,#N/A,1
G0-17101,b4826,flgO,small RNA FlgO,PARTIAL,#N/A,#N/A,#N/A,1
G0-17102,b4827,fliX,small RNA FliX,PARTIAL,#N/A,#N/A,#N/A,1
G0-8914,b4452,gadY,small regulatory RNA GadY,PARTIAL,#N/A,#N/A,#N/A,1
G0-16693,,gndA,heat shock-induced protein GndA,PARTIAL,#N/A,#N/A,#N/A,1
EG11269,b2018,hisL,<i>his</i> operon leader peptide,PARTIAL,#N/A,#N/A,#N/A,1
G0-9582,b4415,hokE,small toxic polypeptide HokE,PARTIAL,#N/A,#N/A,#N/A,1
G0-10633,b4667,ibsA,toxic peptide IbsA,PARTIAL,#N/A,#N/A,#N/A,1
G0-10632,b4668,ibsB,putative toxic peptide IbsB,PARTIAL,#N/A,#N/A,#N/A,1
G0-10631,b4665,ibsC,toxic peptide IbsC,PARTIAL,#N/A,#N/A,#N/A,1
G0-10630,b4664,ibsD,putative toxic peptide IbsD,PARTIAL,#N/A,#N/A,#N/A,1
G0-10629,b4666,ibsE,toxic peptide IbsE,PARTIAL,#N/A,#N/A,#N/A,1
G0-16685,b4722,idlP,<i>iraD</i> leader peptide,PARTIAL,#N/A,#N/A,#N/A,1
EG11270,b3766,ilvL,<i>ilvXGMEDA</i> operon leader peptide,PARTIAL,#N/A,#N/A,#N/A,1
G0-10538,,insAB3,InsAB' transposase,PARTIAL,#N/A,#N/A,#N/A,1
G0-10539,,insAB5,InsAB' transposase,PARTIAL,#N/A,#N/A,#N/A,1
G0-10540,,insAB6,InsAB' transposase,PARTIAL,#N/A,#N/A,#N/A,1
G0-10541,,insCD1,IS2 element transposase InsAB',PARTIAL,#N/A,#N/A,#N/A,1
G0-10542,,insCD2,IS2 element transposase InsAB',PARTIAL,#N/A,#N/A,#N/A,1
G0-10543,,insCD3,IS2 element transposase InsAB',PARTIAL,#N/A,#N/A,#N/A,1
G0-10544,,insCD4,IS2 element transposase InsAB',PARTIAL,#N/A,#N/A,#N/A,1
G0-10545,,insCD5,IS2 element transposase InsAB',PARTIAL,#N/A,#N/A,#N/A,1
G0-10546,,insCD6,IS2 element transposase InsAB',PARTIAL,#N/A,#N/A,#N/A,1
G0-10529,,insEF2,IS3 element transposase,PARTIAL,#N/A,#N/A,#N/A,1
G0-10530,,insEF3,IS3 element transposase,PARTIAL,#N/A,#N/A,#N/A,1
G0-10531,,insEF4,IS3 element transposase,PARTIAL,#N/A,#N/A,#N/A,1
G0-10528,,insEF5,IS3 element transposase,PARTIAL,#N/A,#N/A,#N/A,1
EG11275,b3672,ivbL,<i>ilvBN</i> operon leader peptide,PARTIAL,#N/A,#N/A,#N/A,1
G0-17108,b4833,kilS,Rac prophage; small RNA KilS,PARTIAL,#N/A,#N/A,#N/A,1
G0-9605,b4421,ldrB,small toxic polypeptide LdrB,PARTIAL,#N/A,#N/A,#N/A,1
EG11280,b0075,leuL,<i>leu</i> operon leader peptide,PARTIAL,#N/A,#N/A,#N/A,1
G0-10689,b4702,mgtL,leader peptide MgtL,PARTIAL,#N/A,#N/A,#N/A,1
G0-17103,b4828,motR,small RNA MotR,PARTIAL,#N/A,#N/A,#N/A,1
G0-16697,,naRNA4,naRNA4,PARTIAL,#N/A,#N/A,#N/A,1
G0-17088,b4813,narS,putative small regulatory RNA NarS,PARTIAL,#N/A,#N/A,#N/A,1
G0-10738,,nc1,small noncoding RNA involved in nucleoid organization,PARTIAL,#N/A,#N/A,#N/A,1
G0-10598,b4608,ohsC,small regulatory RNA OhsC,PARTIAL,#N/A,#N/A,#N/A,1
EG11271,b2598,pheL,<i>phe</i> operon leader peptide,PARTIAL,#N/A,#N/A,#N/A,1
EG11272,b1715,pheM,<i>pheST-ihfA</i> operon leader peptide,PARTIAL,#N/A,#N/A,#N/A,1
G0-10707,b4703,pmrR,small regulatory membrane protein PmrR,PARTIAL,#N/A,#N/A,#N/A,1
G0-17078,b4805,raiZ,small RNA RaiZ,PARTIAL,#N/A,#N/A,#N/A,1
G0-16600,b4714,ralA,Rac prophage; small regulatory RNA antitoxin RalA,PARTIAL,#N/A,#N/A,#N/A,1
G0-9603,b4420,rdlA,putative antisense regulatory RNA RdlA,PARTIAL,#N/A,#N/A,#N/A,1
G0-9606,b4422,rdlB,putative antisense regulatory RNA RdlB,PARTIAL,#N/A,#N/A,#N/A,1
G0-9608,b4424,rdlC,putative antisense regulatory RNA RdlC,PARTIAL,#N/A,#N/A,#N/A,1
G0-16662,b4760,rirA,small regulatory RNA RirA,PARTIAL,#N/A,#N/A,#N/A,1
G0-8881,b4416,rybA,small RNA RybA,PARTIAL,#N/A,#N/A,#N/A,1
G0-8876,b4430,rydB,small regulatory RNA RydB,PARTIAL,#N/A,#N/A,#N/A,1
G0-8865,b4432,ryeA,small antisense RNA RyeA,PARTIAL,#N/A,#N/A,#N/A,1
G0-16635,,ryeG,small RNA RyeG,PARTIAL,#N/A,#N/A,#N/A,1
G0-8879,b4440,ryfA,small regulatory RNA RyfA,PARTIAL,#N/A,#N/A,#N/A,1
G0-10600,b4609,ryfD,small regulatory RNA RyfD,PARTIAL,#N/A,#N/A,#N/A,1
G0-8875,b4459,ryjA,small RNA RyjA,PARTIAL,#N/A,#N/A,#N/A,1
G0-10609,b4624,ryjB,small RNA RyjB,PARTIAL,#N/A,#N/A,#N/A,1
G0-10436,b4510,rzoD,DLP12 prophage; putative prophage lysis lipoprotein RzoD,PARTIAL,#N/A,#N/A,#N/A,1
G0-16675,b4689,rzoQ,Qin prophage; putative lipoprotein RzoQ,PARTIAL,#N/A,#N/A,#N/A,1
G0-10449,b4528,rzoR,Rac prophage; putative prophage outer membrane lipoprotein RzoR,PARTIAL,#N/A,#N/A,#N/A,1
G0-10634,b4687,shoB,toxic peptide ShoB,PARTIAL,#N/A,#N/A,#N/A,1
G0-8884,b4436,sibA,small RNA SibA,PARTIAL,#N/A,#N/A,#N/A,1
G0-8885,b4437,sibB,small RNA SibB,PARTIAL,#N/A,#N/A,#N/A,1
G0-8886,b4446,sibC,small regulatory RNA antitoxin SibC,PARTIAL,#N/A,#N/A,#N/A,1
G0-8913,b4447,sibD,small RNA SibD,PARTIAL,#N/A,#N/A,#N/A,1
G0-10602,b4611,sibE,small RNA SibE,PARTIAL,#N/A,#N/A,#N/A,1
G0-9611,b4429,sokB,putative small regulatory RNA antitoxin SokB,PARTIAL,#N/A,#N/A,#N/A,1
G0-9581,b4413,sokC,small regulatory RNA antitoxin SokC,PARTIAL,#N/A,#N/A,#N/A,1
G0-17110,b4835,sokE,small RNA SokE,PARTIAL,#N/A,#N/A,#N/A,1
G0-17074,b4803,speFL,leader peptide SpeFL,PARTIAL,#N/A,#N/A,#N/A,1
G0-9381,b4762,sroA,small RNA SroA,PARTIAL,#N/A,#N/A,#N/A,1
G0-9385,b4761,sroE,small RNA SroE,PARTIAL,#N/A,#N/A,#N/A,1
G0-9388,b4691,sroH,small RNA SroH,PARTIAL,#N/A,#N/A,#N/A,1
EG30099,b2911,ssrS,6S RNA,PARTIAL,#N/A,#N/A,#N/A,1
EG10992,b3119,tdcR,DNA-binding transcriptional activator TdcR,PARTIAL,#N/A,#N/A,#N/A,1
G0-8895,b4414,tff,putative small RNA T44,PARTIAL,#N/A,#N/A,#N/A,1
EG11277,b0001,thrL,<i>thr</i> operon leader peptide,PARTIAL,#N/A,#N/A,#N/A,1
G0-17087,b4812,timP,putative toxic protein TimP,PARTIAL,#N/A,#N/A,#N/A,1
G0-17086,b4811,timR,putative small regulatory RNA TimR,PARTIAL,#N/A,#N/A,#N/A,1
EG11276,b3707,tnaC,<i>tnaAB</i> operon leader peptide,PARTIAL,#N/A,#N/A,#N/A,1
EG11274,b1265,trpL,<i>trp</i> operon leader peptide,PARTIAL,#N/A,#N/A,#N/A,1
G0-17104,b4829,uhpU,small RNA UhpU,PARTIAL,#N/A,#N/A,#N/A,1
G0-10580,b4637,uof,RyhB-regulated <i>fur</i> leader peptide,PARTIAL,#N/A,#N/A,#N/A,1
G0-17126,b4845,xtpA,putative transcriptional regulator XtpA,PARTIAL,#N/A,#N/A,#N/A,1
G0-17109,b4834,xylZ,small RNA XylZ,PARTIAL,#N/A,#N/A,#N/A,1
G0-9081,b4526,ydaE,Rac prophage; zinc-binding protein,PARTIAL,#N/A,#N/A,#N/A,1
G6793,b1503,ydeR,putative fimbrial protein YdeR,PARTIAL,#N/A,#N/A,#N/A,1
EG11303,b1576,ydfD,Qin prophage; lysis protein,PARTIAL,#N/A,#N/A,#N/A,1
G7227,b2358,yfdO,CPS-53 (KpLE1) prophage; protein YdfO,PARTIAL,#N/A,#N/A,#N/A,1
G7230,b2361,yfdR,CPS-53 (KpLE1) prophage; 5'-deoxynucleotidase,PARTIAL,#N/A,#N/A,#N/A,1
G0-17022,b4776,ynfU,Qin prophage; putative zinc-binding protein YnfU,PARTIAL,#N/A,#N/A,#N/A,1
G0-17026,b4780,yodE,CPS-53 (KpLE1) prophage; toxic protein YodE,PARTIAL,#N/A,#N/A,#N/A,1
G0-17130,b4846,yrdG,<i>arfA</i>-derived small regulatory RNA,PARTIAL,#N/A,#N/A,#N/A,1
G0-17089,b4814,zbiJ,small regulatory RNA ZbiJ,PARTIAL,#N/A,#N/A,#N/A,1
G6855,b1597,asr,periplasmic chaperone Asr,PARTIAL,3.555608719,15.16019919,1,0
EG10308,b4314,fimA,type 1 fimbriae major subunit,PARTIAL,10.16003261,14.56585096,1,0
G7128,b2095,gatZ,"putative tagatose-1,6-bisphosphate aldolase 2 chaperone",PARTIAL,10.53983035,14.54716354,1,0
G7683,b3238,yhcN,DUF1471 domain-containing stress-induced protein YhcN,PARTIAL,5.31901983,14.43162008,1,0
G6511,b0990,cspG,cold shock protein CspG,PARTIAL,4.585389205,13.87044988,1,0
G6436,b0836,bssR,regulator of biofilm formation,PARTIAL,6.55876845,13.42008456,1,0
EG10072,b2310,argT,lysine/arginine/ornithine ABC transporter periplasmic binding protein,PARTIAL,7.656989373,13.38175642,1,0
G7173,b2266,elaB,tail-anchored inner membrane protein ElaB,PARTIAL,9.941173133,13.27660383,1,0
G6570,b1112,bhsA,DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA,PARTIAL,5.677703991,13.2196247,1,0
EG12624,b3555,yiaG,putative DNA-binding transcriptional regulator YiaG,PARTIAL,8.200684219,13.15845553,1,0
G6815,b1541,ydfZ,putative selenoprotein YdfZ,PARTIAL,5.440168385,13.15347858,1,0
G6776,b1481,bdm,biofilm-dependent modulation protein,PARTIAL,3.718261651,13.07186837,1,0
EG11390,b3495,uspA,universal stress protein A,PARTIAL,10.940992,13.06562733,1,0
EG12191,b0450,glnK,uridylyl-[protein PII-2] // nitrogen regulatory protein PII-2,PARTIAL,2.142007868,12.96081694,1,0
G6825,b1552,cspI,Qin prophage; cold shock-like protein CspI,PARTIAL,2.982562379,12.91276741,1,0
G6520,b1009,rutD,putative aminoacrylate hydrolase RutD,PARTIAL,0.952723696,12.90104087,1,0
EG11535,b3686,ibpB,small heat shock protein IbpB,PARTIAL,4.425274265,12.80539691,1,0
G0-10443,b4518,ymdF,stress-induced bacterial acidophilic repeat motifs-containing protein YmdF,PARTIAL,5.480966873,12.77944538,1,0
G7626,b3113,tdcF,putative enamine/imine deaminase,PARTIAL,2.81516522,12.7671894,1,0
EG10789,b2416,ptsI,PTS enzyme I,PARTIAL,10.38292146,12.73125279,1,0
G7574,b3024,ygiW,BOF family protein YgiW,PARTIAL,7.281313471,12.6777098,1,0
EG11124,b1256,ompW,outer membrane protein W,PARTIAL,4.617258491,12.56494467,1,0
EG11981,b2036,glf,UDP-galactopyranose mutase,PARTIAL,7.662258824,12.47143459,1,0
EG11943,b4068,yjcH,DUF485 domain-containing inner membrane protein YjcH,PARTIAL,4.258322628,12.39954884,1,0
G7400,b2672,ygaM,tail-anchored inner membrane protein YgaM,PARTIAL,7.869100553,12.15532848,1,0
EG10113,b3336,bfr,bacterioferritin,PARTIAL,7.771376017,12.04660434,1,0
EG11127,b1259,yciG,stress-induced bacterial acidophilic repeat motifs-containing protein YciG,PARTIAL,5.756911107,12.00373621,1,0
EG11489,b1042,csgA,curlin,PARTIAL,3.79307046,11.914188,1,0
G7002,b1826,mgrB,PhoQ kinase inhibitor,PARTIAL,7.305076064,11.90523073,1,0
G6823,b1550,gnsB,Qin prophage; protein GnsB,PARTIAL,8.747755598,11.87892442,1,0
G7046,b1953,yodD,stress-induced protein,PARTIAL,6.673805348,11.8559785,1,0
G7417,b2736,ygbJ,putative L-threonate dehydrogenase,PARTIAL,1.914350266,11.84506623,1,0
EG12268,b3547,yhjX,putative transporter YhjX,PARTIAL,2.471233198,11.81939481,1,0
G0-9562,b4411,ecnB,bacteriolytic entericidin B lipoprotein,PARTIAL,8.656330864,11.79103088,1,0
G363,b1078,flgG,flagellar basal-body rod protein FlgG,PARTIAL,4.096037778,11.76478981,1,0
G6547,b1041,csgB,"curlin, minor subunit",PARTIAL,1.772063923,11.76233675,1,0
EG10559,b4037,malM,maltose regulon periplasmic protein,PARTIAL,4.226888125,11.75227507,1,0
G6702,b1379,hslJ,lipoprotein implicated in Novobiocin resistance,PARTIAL,5.51306382,11.75119209,1,0
EG11533,b1205,ychH,stress-induced protein,PARTIAL,7.092057694,11.67040962,1,0
G6302,b0546,ybcM,DLP12 prophage; putative DNA-binding transcriptional regulator,PARTIAL,4.664071306,11.64912535,1,0
EG11844,b3879,yihR,putative sulfoquinovose mutarotase YihR,PARTIAL,1.278119685,11.62379008,1,0
G7402,b2674,nrdI,dimanganese-tyrosyl radical cofactor maintenance flavodoxin NrdI,PARTIAL,5.513240144,11.62262289,1,0
G362,b1077,flgF,flagellar basal-body rod protein FlgF,PARTIAL,3.633987875,11.57711905,1,0
EG11391,b4376,osmY,osmotically inducible protein Y,PARTIAL,8.365723284,11.55272779,1,0
EG11554,b2669,stpA,DNA-binding transcriptional repressor StpA with RNA chaperone activity,PARTIAL,8.288841245,11.53437108,1,0
EG11360,b3570,bax,putative glycoside hydrolase Bax,PARTIAL,8.160437537,11.50354952,1,0
EG11495,b3511,hdeD,acid-resistance membrane protein,PARTIAL,5.695345093,11.49555685,1,0
EG10679,b1283,osmB,osmotically-inducible lipoprotein OsmB,PARTIAL,7.528109834,11.47564971,1,0
G6763,b1452,yncE,PQQ-like domain-containing protein YncE,PARTIAL,7.967868232,11.44014941,1,0
G7852,b4189,bsmA,DUF1471 domain-containing putative lipoprotein BsmA,PARTIAL,5.566848877,11.43982496,1,0
G6697,b1374,pinR,Rac prophage; putative site-specific recombinase,PARTIAL,3.836471217,11.43866225,1,0
G7071,b1987,cbl,DNA-binding transcriptional activator Cbl,PARTIAL,5.410375204,11.42846141,1,0
G7543,b2977,glcG,putative heme-binding protein GlcG,PARTIAL,5.472576003,11.42770939,1,0
G7220,b2351,yfdH,CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase,PARTIAL,7.188982563,11.39547441,1,0
EG11928,b4045,yjbJ,putative stress response protein YjbJ,PARTIAL,6.61521174,11.36807918,1,0
EG11974,b4315,fimI,putative fimbrial protein FimI,PARTIAL,6.475353031,11.3508692,1,0
G6158,b0287,yagU,DUF1440 domain-containing inner membrane protein YagU,PARTIAL,7.574807372,11.2712689,1,0
EG11984,b2033,wbbJ,putative lipopolysaccharide biosynthesis O-acetyl transferase WbbJ,PARTIAL,7.382814557,11.27038915,1,0
EG11789,b2051,gmm,GDP-mannose mannosyl hydrolase,PARTIAL,1.089723805,11.26100293,1,0
EG11933,b4050,pspG,phage shock protein G,PARTIAL,3.84269456,11.22556633,1,0
G6312,b0557,borD,DLP12 prophage; prophage lipoprotein BorD,PARTIAL,7.128910675,11.16430764,1,0
EG10322,b1944,fliL,flagellar protein FliL,PARTIAL,3.157426097,11.14692986,1,0
G6782,b1488,ddpX,D-alanyl-D-alanine dipeptidase,PARTIAL,2.454411386,11.1386688,1,0
EG11982,b2035,wbbH,putative O-antigen polymerase,PARTIAL,6.116830697,11.12235552,1,0
G7040,b1932,yedL,putative acetyltransferase YedL,PARTIAL,3.781991271,11.10640817,1,0
EG11797,b2464,talA,transaldolase A,PARTIAL,7.223532039,11.07742398,1,0
G7419,b2738,ygbL,putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL,PARTIAL,2.36270996,11.05304185,1,0
G6788,b1498,ydeN,putative sulfatase YdeN,PARTIAL,2.703363301,11.04389513,1,0
EG11985,b2032,wbbK,putative glycosyltransferase WbbK,PARTIAL,6.930799697,11.00235198,1,0
G6301,b0545,ybcL,DLP12 prophage; periplasmic protein YbcL,PARTIAL,3.391066116,10.99679435,1,0
G6527,b1018,efeO,Fe(2+) transport system protein EfeO,PARTIAL,6.527027,10.93719898,1,0
EG10657,b3661,nlpA,lipoprotein-28,PARTIAL,7.559411537,10.93222874,1,0
EG11292,b3003,yghA,NADP<sup>+</sup>-dependent aldehyde reductase,PARTIAL,4.618257575,10.8970922,1,0
G7489,b2870,ygeW,putative carbamoyltransferase YgeW,PARTIAL,0.764933864,10.87994747,1,0
EG11508,b1480,sra,ribosome-associated protein Sra,PARTIAL,10.21229404,10.85205809,1,0
G6736,b1420,mokB,putative regulatory protein MokB,PARTIAL,5.885355661,10.84214852,1,0
EG11346,b1937,fliE,flagellar protein FliE,PARTIAL,2.78498959,10.7947273,1,0
G7077,b1997,insC3,CP4-44 prophage; IS2 insertion element repressor InsA,PARTIAL,6.169630619,10.78110901,1,0
G6724,b1403,insC2,IS2 insertion element repressor InsA,PARTIAL,6.172179721,10.77309063,1,0
G7481,b2861,insC4,IS2 insertion element repressor InsA,PARTIAL,6.197030407,10.76097887,1,0
EG11599,b1532,marB,multiple antibiotic resistance protein MarB,PARTIAL,4.178598572,10.75113189,1,0
EG12249,b3523,yhjE,putative transporter YhjE,PARTIAL,7.832773946,10.71323531,1,0
EG11241,b0897,ycaC,putative hydrolase YcaC,PARTIAL,6.785614807,10.71280526,1,0
EG12231,b3494,uspB,universal stress protein B,PARTIAL,6.337257266,10.68473715,1,0
G364,b1079,flgH,flagellar L-ring protein,PARTIAL,2.807218635,10.66805889,1,0
EG11625,b0863,artI,putative ABC transporter periplasmic binding protein ArtI,PARTIAL,7.886871109,10.66749949,1,0
G6781,b1487,ddpA,"putative D,D-dipeptide ABC transporter periplasmic binding protein",PARTIAL,2.717134779,10.64995286,1,0
G7488,b2869,ygeV,putative &sigma;<sup>54</sup>-dependent transcriptional regulator YgeV,PARTIAL,3.389452741,10.64731452,1,0
G7418,b2737,ygbK,putative 3-oxo-tetronate kinase YgbK,PARTIAL,2.302183471,10.64616548,1,0
EG11808,b1848,yebG,DNA damage-inducible protein YebG,PARTIAL,6.932973845,10.60811653,1,0
EG11181,b3337,bfd,bacterioferritin-associated ferredoxin,PARTIAL,7.03096829,10.57117298,1,0
EG11980,b2037,rfbX,polyisoprenol-linked O16-antigen repeat unit flippase,PARTIAL,6.607082995,10.47539853,1,0
EG12205,b1558,cspF,Qin prophage; cold shock-like protein CspF,PARTIAL,3.428229106,10.4455807,1,0
G7396,b2666,yqaE,Pmp3 family protein YqaE,PARTIAL,6.715112877,10.43255869,1,0
G7221,b2352,yfdI,CPS-53 (KpLE1) prophage; serotype-specific glucosyl transferase YfdI,PARTIAL,5.637610792,10.41582726,1,0
EG11842,b3877,yihP,"putative 2,3-dihydroxypropane-1-sulfonate export protein",PARTIAL,1.173223597,10.409739,1,0
G6604,b1164,ycgZ,putative two-component system connector protein YcgZ,PARTIAL,4.836059984,10.38647416,1,0
G7446,b2788,gudX,glucarate dehydratase-related protein,PARTIAL,2.294922955,10.38578258,1,0
G7005,b1832,msrC,free methionine-(<i>R</i>)-sulfoxide reductase,PARTIAL,8.760694393,10.38069988,1,0
G7684,b3239,yhcO,putative barnase inhibitor,PARTIAL,5.418304138,10.34183809,1,0
EG11644,b1536,ydeI,BOF family protein YdeI,PARTIAL,4.569670344,10.31010261,1,0
G6605,b1165,ymgA,putative two-component system connector protein YmgA,PARTIAL,4.430019783,10.29581656,1,0
EG11279,b4246,pyrL,<i>pyrBI</i> operon leader peptide,PARTIAL,5.294658188,10.29056512,1,0
EG11034,b4355,tsr,methyl-accepting chemotaxis protein Tsr,PARTIAL,3.426369127,10.26818342,1,0
G6300,b0544,ybcK,DLP12 prophage; putative recombinase YbcK,PARTIAL,1.413637634,10.25589527,1,0
EG11654,b1939,fliG,flagellar motor switch protein FliG,PARTIAL,2.714670555,10.24305928,1,0
EG11890,b3506,slp,starvation lipoprotein,PARTIAL,6.190516295,10.18521777,1,0
G6456,b0872,hcr,NADH oxidoreductase,PARTIAL,1.828964691,10.16292577,1,0
EG11967,b1082,flgK,flagellar hook-filament junction protein 1,PARTIAL,3.367594099,10.15802784,1,0
G6337,b0610,rnk,nucleoside diphosphate kinase regulator,PARTIAL,7.371569133,10.12597295,1,0
EG11983,b2034,wbbI,"&beta;-1,6-galactofuranosyltransferase WbbI",PARTIAL,7.560575048,10.11762198,1,0
EG11733,b3755,yieP,DNA-binding transcriptional dual regulator YieP,PARTIAL,6.71541656,10.11275738,1,0
G6800,b1513,lsrA,Autoinducer-2 ABC transporter ATP binding subunit,PARTIAL,1.746168863,10.1078402,1,0
G366,b1081,flgJ,putative peptidoglycan hydrolase FlgJ,PARTIAL,2.466374995,10.09178196,1,0
EG11388,b1925,fliS,flagellar biosynthesis protein FliS,PARTIAL,2.950779767,10.08797513,1,0
EG10820,b1951,rcsA,DNA-binding transcriptional activator RcsA,PARTIAL,3.8259332,10.07292224,1,0
G6770,b1463,nhoA,arylamine <i>N</i>-acetyltransferase,PARTIAL,3.667985698,10.04355311,1,0
EG10601,b1890,motA,motility protein A,PARTIAL,2.091086046,10.0393939,1,0
G365,b1080,flgI,flagellar P-ring protein,PARTIAL,2.658890037,10.03794375,1,0
EG11209,b4030,psiE,putative phosphate starvation-inducible protein PsiE,PARTIAL,5.178940747,10.03067661,1,0
EG10841,b1924,fliD,flagellar filament capping protein,PARTIAL,2.626119338,10.01824109,1,0
G7829,b4127,yjdJ,putative <i>N</i>-acetyltransferase YjdJ,PARTIAL,5.734999947,9.998010132,1,0
G6335,b0608,ybdR,putative Zn<sup>2+</sup>-dependent alcohol dehydrogenase YbdR,PARTIAL,3.671040753,9.952027556,1,0
G7851,b4188,yjfN,protease activator YjfN,PARTIAL,4.541989263,9.950666499,1,0
G7491,b2872,ygeY,putative peptidase YgeY,PARTIAL,2.102916283,9.949529037,1,0
EG12028,b2160,yeiI,putative sugar kinase YeiI,PARTIAL,5.211594538,9.907426081,1,0
EG11661,b1930,yedF,putative sulfurtransferase YedF,PARTIAL,6.833679956,9.904103341,1,0
EG12023,b2141,yohJ,putative 3-hydroxypropanoate export protein YohJ,PARTIAL,4.170347685,9.893795604,1,0
G7830,b4128,ghoS,antitoxin of the GhoTS toxin-antitoxin system,PARTIAL,2.991745721,9.893718151,1,0
G0-9610,b4428,hokB,toxin HokB,PARTIAL,4.954833011,9.853758982,1,0
G357,b1072,flgA,flagellar basal body P-ring formation protein FlgA,PARTIAL,3.676502419,9.832684996,1,0
G6308,b0552,insH2,DLP12 prophage; IS<i>5</i> transposase and trans-activator,PARTIAL,7.076112069,9.827064877,1,0
G7490,b2871,ygeX,"2,3-diaminopropionate ammonia-lyase",PARTIAL,1.115035088,9.818532082,1,0
EG10412,b3500,gor,glutathione reductase (NADPH),PARTIAL,7.172771853,9.809873263,1,0
G0-10241,b4565,sgcB,putative PTS enzyme IIB component SgcB,PARTIAL,1.931621151,9.804849627,1,0
G0-9662,b4517,gnsA,putative phosphatidylethanolamine synthesis regulator GnsA,PARTIAL,6.512284056,9.730515927,1,0
G6190,b0325,yahK,"aldehyde reductase, NADPH-dependent",PARTIAL,6.744908494,9.726285356,1,0
EG12194,b0999,cbpM,chaperone modulator CbpM,PARTIAL,6.195848675,9.725599708,1,0
G7420,b2739,ygbM,putative 2-oxo-tetronate isomerase YgbM,PARTIAL,2.70424231,9.725126015,1,0
G7191,b2299,yfcD,putative Nudix hydrolase YfcD,PARTIAL,7.405785592,9.710275696,1,0
EG12544,b4279,nanX,"2,7-anhydro-<i>N</i>-acetylneuraminate transporter NanX",PARTIAL,3.361446421,9.700356327,1,0
EG12656,b3028,mdaB,NADPH:quinone oxidoreductase MdaB,PARTIAL,6.749898535,9.691006709,1,0
G7606,b3087,ygjR,putative oxidoreductase YgjR,PARTIAL,5.862483205,9.677213365,1,0
G0-10437,b4511,ybdZ,enterobactin biosynthesis protein YbdZ,PARTIAL,4.524158524,9.675332902,1,0
EG11734,b1020,phoH,ATP-binding protein PhoH,PARTIAL,6.349328638,9.674733099,1,0
G7033,b1902,ftnB,putative ferritin-like protein,PARTIAL,6.025352645,9.668381088,1,0
EG11389,b1926,fliT,flagellar biosynthesis protein FliT,PARTIAL,2.749017655,9.62014751,1,0
EG12933,b3410,feoC,Fe(2+) transport protein FeoC,PARTIAL,6.002031947,9.607021166,1,0
EG10044,b1739,osmE,osmotically-inducible lipoprotein OsmE,PARTIAL,9.181882765,9.591495343,1,0
G7027,b1878,flhE,flagellar protein FlhE,PARTIAL,2.170253831,9.564192007,1,0
G6438,b0838,gstB,glutathione <i>S</i>-transferase GstB,PARTIAL,7.429517791,9.524012554,1,0
G7497,b2878,ygfK,"putative oxidoreductase, Fe-S subunit",PARTIAL,1.174737131,9.522992683,1,0
G6712,b1391,paaD,phenylacetate degradation protein,PARTIAL,1.356402442,9.491649027,1,0
EG12271,b3552,yiaD,PF13488 family lipoprotein YiaD,PARTIAL,4.064993903,9.451894394,1,0
EG11660,b1929,yedE,putative selenium transporter YedE,PARTIAL,6.685804391,9.446538663,1,0
G7823,b4110,rdcB,regulator of diguanylate cyclase RdcB,PARTIAL,2.62461592,9.442026745,1,0
EG12101,b3408,feoA,Fe(2+) transport protein A,PARTIAL,7.301935462,9.439757329,1,0
