,sample_id,study,project,reference_condition,reference_condition_old,condition,rep_id,Strain Description,Strain,Culture Type,Evolved Sample,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Antibiotic for selection,Growth_Phase,Growth Rate (1/hr),Isolate Type,Additional Details,Sequencing Machine,LibraryLayout,Platform,Biological Replicates,doi,GEO,SRX,Run,R1,R2,contact,creator,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,run_date,n_replicates,PxK_sample_type,deleted_genes,mutated_genes,overexpressed_genes,passed_replicate_correlations,show_study,study_sort,qc_id
pmg_wt_1,pan_fur_MG1655_3,pan_fur,CFP,pmg_wt_445;pmg_wt_446,WT,WT,1,WT,MG1655,Batch,No,M9,37,7,glucose,NH4Cl,,,FeCl2 (0.1mM),,,,,Aerobic; duplicates from fur project,,PAIRED,ILLUMINA,2,https://doi.org/10.1093/nar/gkad253,GSE54900,,,s3://modulome/multi_ecoli/MG1655/raw_rna/pan_fur_3_R1.fastq.gz,s3://modulome/multi_ecoli/MG1655/raw_rna/pan_fur_3_R2.fastq.gz,,,TRUE,,TRUE,TRUE,CFP:WT,,,10/15/2021,,WT,,,,TRUE,pan_fur,0,pxk_0064
pmg_wt_2,pan_fur_MG1655_4,pan_fur,CFP,pmg_wt_445;pmg_wt_446,WT,WT,2,WT,MG1655,Batch,No,M9,37,7,glucose,NH4Cl,,,FeCl2 (0.1mM),,,,,Aerobic; duplicates from fur project,,PAIRED,ILLUMINA,2,https://doi.org/10.1093/nar/gkad253,GSE54900,,,s3://modulome/multi_ecoli/MG1655/raw_rna/pan_fur_4_R1.fastq.gz,s3://modulome/multi_ecoli/MG1655/raw_rna/pan_fur_4_R2.fastq.gz,,,TRUE,,TRUE,TRUE,CFP:WT,,,10/15/2021,,WT,,,,TRUE,pan_fur,0,pxk_0065
pmg_wt_3,Cond_0_R1,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,M9_glucose,1,WT,MG1655,Batch,No,M9,37,7,glucose,NH4Cl,,,,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_0_Rep_1_S66_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_0_Rep_1_S66_L002_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:M9_glucose,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0108
pmg_wt_4,Cond_0_R2,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,M9_glucose,2,WT,MG1655,Batch,No,M9,37,7,glucose,NH4Cl,,,,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_0_Rep_2_S67_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_0_Rep_2_S67_L002_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:M9_glucose,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0109
pmg_wt_5,Cond_14_R1,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,sorbital_arginine,1,WT,MG1655,Batch,No,M9,37,7,4g/L sorbital,NH4Cl,,,5mM L-arginine,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_14_Rep_1_S110_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_14_Rep_1_S110_L002_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:sorbital_arginine,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0110
pmg_wt_6,Cond_14_R2,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,sorbital_arginine,2,WT,MG1655,Batch,No,M9,37,7,4g/L sorbital,NH4Cl,,,5mM L-arginine,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_14_Rep_2_S111_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_14_Rep_2_S111_L002_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:sorbital_arginine,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0111
pmg_wt_7,Cond_21_R1,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,acetate,1,WT,MG1655,Batch,No,M9,37,7,4g/L acetate,NH4Cl,,,,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-09-29-IGM-NovaSeq/INDIMOD_NEBR_MG1655_21R1_S1_L003_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-09-29-IGM-NovaSeq/INDIMOD_NEBR_MG1655_21R1_S1_L003_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:acetate,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0112
pmg_wt_8,Cond_21_R2,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,acetate,2,WT,MG1655,Batch,No,M9,37,7,4g/L acetate,NH4Cl,,,,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-09-29-IGM-NovaSeq/INDIMOD_NEBR_MG1655_21R2_S2_L003_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-09-29-IGM-NovaSeq/INDIMOD_NEBR_MG1655_21R2_S2_L003_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:acetate,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0113
pmg_wt_9,Cond_22_R1,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,stationary,1,WT,MG1655,Batch,No,M9,37,7,glucose,NH4Cl,,,,,stationary,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_22_R1_S53_L008_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_22_R1_S53_L008_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:stationary,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0114
pmg_wt_10,Cond_22_R2,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,stationary,2,WT,MG1655,Batch,No,M9,37,7,glucose,NH4Cl,,,,,stationary,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_22_R2_S54_L008_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_22_R2_S54_L008_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:stationary,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0115
pmg_wt_11,Cond_23_R1,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,TB,1,WT,MG1655,Batch,No,TB,37,7,,,,,,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_23_R1_S65_L008_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_23_R1_S65_L008_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:TB,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0116
pmg_wt_12,Cond_23_R2,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,TB,2,WT,MG1655,Batch,No,TB,37,7,,,,,,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_23_R2_S66_L008_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-09-06-IGM-NovaSeq/INDIMOD_NEBR_MG1655_23_R2_S66_L008_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:TB,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0117
pmg_wt_13,Cond_32_R1,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,anaerobic,1,WT,MG1655,Batch,No,M9,37,7,4g/L glucose,NH4Cl,,,,,,,,Anaerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_32_Rep_1_S98_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_32_Rep_1_S98_L002_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:anaerobic,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0118
pmg_wt_14,Cond_32_R2,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,anaerobic,2,WT,MG1655,Batch,No,M9,37,7,4g/L glucose,NH4Cl,,,,,,,,Anaerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_32_Rep_2_S99_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_32_Rep_2_S99_L002_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:anaerobic,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0119
pmg_wt_15,Cond_33_R1,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,LiAcet,1,WT,MG1655,Batch,No,M9,37,7,4g/L glucose,NH4Cl,,,10mM Lithium Acetate,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_33_Rep_1_S132_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_33_Rep_1_S132_L002_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:LiAcet,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0120
pmg_wt_16,Cond_33_R2,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,LiAcet,2,WT,MG1655,Batch,No,M9,37,7,4g/L glucose,NH4Cl,,,10mM Lithium Acetate,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_33_Rep_2_S133_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-08-18-IGM-NovaSeq/MG1655_Condition_33_Rep_2_S133_L002_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:LiAcet,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0121
pmg_wt_17,Cond_34_R1,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,paraquat,1,WT,MG1655,Batch,No,M9,37,7,4g/L glucose,NH4Cl,,,160 uM paraquat,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-09-25-IGM-NovaSeq/INDIMOD_NEBR_MG1655_34R1_S29_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-09-25-IGM-NovaSeq/INDIMOD_NEBR_MG1655_34R1_S29_L001_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:paraquat,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0122
pmg_wt_18,Cond_34_R2,in_house_2,INDIMOD,pmg_wt_3;pmg_wt_4,M9_glucose,paraquat,2,WT,MG1655,Batch,No,M9,37,7,4g/L glucose,NH4Cl,,,160 uM paraquat,,,,,Aerobic,,PAIRED,ILLUMINA,2,,GSE296075,,,s3://sbrg-sequencing-files/2023-09-25-IGM-NovaSeq/INDIMOD_NEBR_MG1655_34R2_S30_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/2023-09-25-IGM-NovaSeq/INDIMOD_NEBR_MG1655_34R2_S30_L001_R2_001.fastq.gz,Yuan yuan,Yuan yuan,TRUE,,TRUE,TRUE,INDIMOD:paraquat,,,1/1/2024,,WT,,,,TRUE,in_house_2,0,pxk_0123
pmg_wt_19,wt M9 R1,RPO,RPO,pmg_wt_19;pmg_wt_20,wt,wt,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,0.639,,,MiSeq,PAIRED,ILLUMINA,2,10.1128/msystems.00305-24,GSE227624,SRX19702577,SRR23890768,s3://sbrg-sequencing-files/2022-06-07-IGM-NovaSeq/RPO_HRS_BOP27_M9_R1_S17_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2022-06-07-IGM-NovaSeq/RPO_HRS_BOP27_M9_R1_S17_L002_R2_001.fastq.gz,Richard Szubin,Chris Dalldorf,TRUE,,TRUE,TRUE,RPO:wt,,,3/17/2023,2,WT,,,,TRUE,RPO,0,pxk_0132
pmg_wt_20,wt M9 R2,RPO,RPO,pmg_wt_19;pmg_wt_20,wt,wt,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,0.639,,,MiSeq,PAIRED,ILLUMINA,2,10.1128/msystems.00305-24,GSE227624,SRX19702578,SRR23890767,s3://sbrg-sequencing-files/2022-06-07-IGM-NovaSeq/RPO_HRS_BOP27_M9_R2_S18_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2022-06-07-IGM-NovaSeq/RPO_HRS_BOP27_M9_R2_S18_L002_R2_001.fastq.gz,Richard Szubin,Chris Dalldorf,TRUE,,TRUE,TRUE,RPO:wt,,,3/17/2023,2,WT,,,,TRUE,RPO,0,pxk_0133
pmg_wt_21,wt M9 glucose with methionine R1,RPO,RPO,pmg_wt_19;pmg_wt_20,wt,wt_methionine,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,200 mM methionine,,,0.816,,,MiSeq,PAIRED,ILLUMINA,2,10.1128/msystems.00305-24,GSE227624,SRX19702581,SRR23890764,s3://sbrg-sequencing-files/2022-06-07-IGM-NovaSeq/RPO_HRS_BOP27_M9_Methionine_R1_S21_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2022-06-07-IGM-NovaSeq/RPO_HRS_BOP27_M9_Methionine_R1_S21_L002_R2_001.fastq.gz,Richard Szubin,Chris Dalldorf,TRUE,,TRUE,TRUE,RPO:wt_methionine,,,3/17/2023,2,WT,,,,TRUE,RPO,0,pxk_0134
pmg_wt_22,wt M9 glucose with methionine R2,RPO,RPO,pmg_wt_19;pmg_wt_20,wt,wt_methionine,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,200 mM methionine,,,0.816,,,MiSeq,PAIRED,ILLUMINA,2,10.1128/msystems.00305-24,GSE227624,SRX19702582,SRR23890763,s3://sbrg-sequencing-files/2022-06-07-IGM-NovaSeq/RPO_HRS_BOP27_M9_Methionine_R2_S22_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2022-06-07-IGM-NovaSeq/RPO_HRS_BOP27_M9_Methionine_R2_S22_L002_R2_001.fastq.gz,Richard Szubin,Chris Dalldorf,TRUE,,TRUE,TRUE,RPO:wt_methionine,,,3/17/2023,2,WT,,,,TRUE,RPO,0,pxk_0135
pmg_wt_23,wt M9 glucose at 42 Celsius R1,RPO,RPO,pmg_wt_19;pmg_wt_20,wt,wt_42C,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,42,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,0.732,,,MiSeq,PAIRED,ILLUMINA,2,10.1128/msystems.00305-24,GSE227624,SRX19702569,SRR23890776,s3://sbrg-sequencing-files/2022-06-07-IGM-NovaSeq/RPO_HRS_BOP27_42C_M9_R1_S45_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2022-06-07-IGM-NovaSeq/RPO_HRS_BOP27_42C_M9_R1_S45_L002_R2_001.fastq.gz,Richard Szubin,Chris Dalldorf,TRUE,,TRUE,TRUE,RPO:wt_42C,,,3/17/2023,2,WT,,,,TRUE,RPO,0,pxk_0136
pmg_wt_24,wt M9 glucose at 42 Celsius R2,RPO,RPO,pmg_wt_19;pmg_wt_20,wt,wt_42C,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,42,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,0.732,,,MiSeq,PAIRED,ILLUMINA,2,10.1128/msystems.00305-24,GSE227624,SRX19702570,SRR23890775,s3://sbrg-sequencing-files/2022-06-07-IGM-NovaSeq/RPO_HRS_BOP27_42C_M9_R2_S46_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2022-06-07-IGM-NovaSeq/RPO_HRS_BOP27_42C_M9_R2_S46_L002_R2_001.fastq.gz,Richard Szubin,Chris Dalldorf,TRUE,,TRUE,TRUE,RPO:wt_42C,,,3/17/2023,2,WT,,,,TRUE,RPO,0,pxk_0137
pmg_wt_25,wt M9 glucose with octanoic acid R1,RPO,RPO,pmg_wt_19;pmg_wt_20,wt,wt_octanoic,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,12 mM octanoic acid,,,0.549,,,MiSeq,PAIRED,ILLUMINA,2,10.1128/msystems.00305-24,GSE227624,SRX19702573,SRR23890772,s3://sbrg-sequencing-files/2022-06-07-IGM-NovaSeq/RPO_HRS_BOP27_M9_OctanoicA_R1_S49_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2022-06-07-IGM-NovaSeq/RPO_HRS_BOP27_M9_OctanoicA_R1_S49_L002_R2_001.fastq.gz,Richard Szubin,Chris Dalldorf,TRUE,,TRUE,TRUE,RPO:wt_octanoic,,,3/17/2023,2,WT,,,,TRUE,RPO,0,pxk_0138
pmg_wt_26,wt M9 glucose with octanoic acid R2,RPO,RPO,pmg_wt_19;pmg_wt_20,wt,wt_octanoic,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,12 mM octanoic acid,,,0.549,,,MiSeq,PAIRED,ILLUMINA,2,10.1128/msystems.00305-24,GSE227624,SRX19702574,SRR23890771,s3://sbrg-sequencing-files/2022-06-07-IGM-NovaSeq/RPO_HRS_BOP27_M9_OctanoicA_R2_S50_L002_R1_001.fastq.gz,s3://sbrg-sequencing-files/2022-06-07-IGM-NovaSeq/RPO_HRS_BOP27_M9_OctanoicA_R2_S50_L002_R2_001.fastq.gz,Richard Szubin,Chris Dalldorf,TRUE,,TRUE,TRUE,RPO:wt_octanoic,,,3/17/2023,2,WT,,,,TRUE,RPO,0,pxk_0139
pmg_wt_27,C_L-Arabinose_1,single_nutrient_perturbation,SNPv1,pmg_wt_77;pmg_wt_78,D-Glucose_NH4Cl,L-Arabinose_NH4Cl,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,L-Arabinose(5),NH4Cl(1),O2,Sauer trace element mixture,,,,0.695,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273304,,,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-20-TSRI AVITI/41id41_S41_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-20-TSRI AVITI/41id41_S41_L001_R2_001.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv1:L-Arabinose_NH4Cl,,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0140
pmg_wt_28,C_L-Arabinose_2,single_nutrient_perturbation,SNPv1,pmg_wt_77;pmg_wt_78,D-Glucose_NH4Cl,L-Arabinose_NH4Cl,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,L-Arabinose(5),NH4Cl(1),O2,Sauer trace element mixture,,,,0.695,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273304,,,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-20-TSRI AVITI/42id42_S42_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-20-TSRI AVITI/42id42_S42_L001_R2_001.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv1:L-Arabinose_NH4Cl,,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0141
pmg_wt_29,C_L-Fucose_1,single_nutrient_perturbation,SNPv1,pmg_wt_77;pmg_wt_78,D-Glucose_NH4Cl,L-Fucose_NH4Cl,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,L-Fucose(5),NH4Cl(1),O2,Sauer trace element mixture,,,,0.494,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273304,,,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-20-TSRI AVITI/11id11_S11_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-20-TSRI AVITI/11id11_S11_L001_R2_001.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv1:L-Fucose_NH4Cl,,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0142
pmg_wt_30,C_L-Fucose_2,single_nutrient_perturbation,SNPv1,pmg_wt_77;pmg_wt_78,D-Glucose_NH4Cl,L-Fucose_NH4Cl,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,L-Fucose(5),NH4Cl(1),O2,Sauer trace element mixture,,,,0.494,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273304,,,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-20-TSRI AVITI/12id12_S12_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/TSRI AVITI Runs/2024-03-20-TSRI AVITI/12id12_S12_L001_R2_001.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv1:L-Fucose_NH4Cl,,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0143
pmg_wt_31,C_D-Glucuronic_acid_1,single_nutrient_perturbation,SNPv1,pmg_wt_77;pmg_wt_78,D-Glucose_NH4Cl,D-Glucuronic_acid_NH4Cl,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,D-Glucuronic_acid(5),NH4Cl(1),O2,Sauer trace element mixture,,,,0.467,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273304,,,s3://sbrg-sequencing-files/2024-04-23-SBP-AVITI/PAL036_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-23-SBP-AVITI/PAL036_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv1:D-Glucuronic_acid_NH4Cl,,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0144
pmg_wt_32,C_D-Glucuronic_acid_2,single_nutrient_perturbation,SNPv1,pmg_wt_77;pmg_wt_78,D-Glucose_NH4Cl,D-Glucuronic_acid_NH4Cl,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,D-Glucuronic_acid(5),NH4Cl(1),O2,Sauer trace element mixture,,,,0.467,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273304,,,s3://sbrg-sequencing-files/2024-04-23-SBP-AVITI/PAL037_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-23-SBP-AVITI/PAL037_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv1:D-Glucuronic_acid_NH4Cl,,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0145
pmg_wt_33,C_D-Gluconic_acid_1,single_nutrient_perturbation,SNPv1,pmg_wt_77;pmg_wt_78,D-Glucose_NH4Cl,D-Gluconic_acid_NH4Cl,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,D-Gluconic_acid(5),NH4Cl(1),O2,Sauer trace element mixture,,,,0.624,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273304,,,s3://sbrg-sequencing-files/2024-04-23-SBP-AVITI/PAL060_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-23-SBP-AVITI/PAL060_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv1:D-Gluconic_acid_NH4Cl,,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0146
pmg_wt_34,C_D-Gluconic_acid_2,single_nutrient_perturbation,SNPv1,pmg_wt_77;pmg_wt_78,D-Glucose_NH4Cl,D-Gluconic_acid_NH4Cl,2,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,D-Gluconic_acid(5),NH4Cl(1),O2,Sauer trace element mixture,,,,0.624,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273304,,,s3://sbrg-sequencing-files/2024-04-23-SBP-AVITI/PAL061_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-23-SBP-AVITI/PAL061_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv1:D-Gluconic_acid_NH4Cl,,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0147
pmg_wt_35,C_D-Mannitol_1,single_nutrient_perturbation,SNPv1,pmg_wt_77;pmg_wt_78,D-Glucose_NH4Cl,D-Mannitol_NH4Cl,1,Escherichia coli K-12 MG1655,MG1655,Batch,No,M9,37,7,D-Mannitol(5),NH4Cl(1),O2,Sauer trace element mixture,,,,0.637,,,AVITI,PAIRED,Element Biosciences,2,,PRJNA1273304,,,s3://sbrg-sequencing-files/2024-04-23-SBP-AVITI/PAL062_R1.fastq.gz,s3://sbrg-sequencing-files/2024-04-23-SBP-AVITI/PAL062_R2.fastq.gz,Jongoh Shin,Jaemin Sung,TRUE,,TRUE,TRUE,SNPv1:D-Mannitol_NH4Cl,,,7/19/2024,,WT,,,,TRUE,single_nutrient_perturbation,0,pxk_0148
